wood_type,mount_type,fixture_configuration,wind_speed_mph,pole_height_ft,epa,ero_vista_pole_size
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 115 VVmph,8,19.3,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 120 Vmph,8,17.54,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 130 Vmph,8,14.61,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 140 Vmph,8,12.28,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Eqaul to 150 Vmph,8,10.4,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 160 Vmph,8,8.87,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 115 Vmph,10,14.31,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 120 Vmph,10,12.91,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 130 Vmph,10,10.54,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 140 Vmph,10,8.5,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Eqaul to 150 Vmph,10,6.86,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 160 Vmph,10,5.51,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 115 Vmph,12,10.53,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 120 Vmph,12,9.25,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 130 Vmph,12,7.13,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 140 Vmph,12,5.44,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Eqaul to 150 Vmph,12,4.08,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 160 Vmph,12,2.97,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 115 Vmph,14,7.16,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 120 Vmph,14,6.08,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 130 Vmph,14,4.3,"5"" x 5-1/2"""
AYC,Pedestal/Base Plate,Single Top Mount Fixture,Less Than or Equal to 140 Vmph,14,2.89,"5"" x 5-1/2"""
